Frame,Joint,Angle (Degrees)
1,15 to 21,-63.43494882292201
1,16 to 20,-71.56505117707799
1,18 to 20,-59.03624346792648
1,3 to 7,127.14668669802178
1,14 to 16,-40.763605200941164
1,23 to 25,-137.29061004263855
1,28 to 30,-144.24611274556327
1,11 to 23,-103.29857033049429
1,27 to 31,24.863696571751866
1,16 to 18,-135.0
1,25 to 27,91.33221985386963
2,15 to 21,-63.43494882292201
2,16 to 20,-66.80140948635182
2,18 to 20,-61.69924423399363
2,3 to 7,128.418055344822
2,14 to 16,-27.474431626277134
2,23 to 25,-172.1466866980218
2,28 to 30,-160.01689347810003
2,11 to 23,-100.68491240000272
2,27 to 31,19.025606037568682
2,16 to 18,-135.0
2,25 to 27,100.00797980144135
3,15 to 21,-56.309932474020215
3,16 to 20,-56.309932474020215
3,18 to 20,-48.81407483429036
3,3 to 7,129.28940686250036
3,14 to 16,-26.56505117707799
3,23 to 25,174.47245984834385
3,28 to 30,-160.86635679409451
3,11 to 23,-95.38931175997341
3,27 to 31,21.644435140713995
3,16 to 18,-135.0
3,25 to 27,120.96375653207352
4,15 to 21,-59.743562836470744
4,16 to 20,-61.69924423399363
4,18 to 20,-51.34019174590991
4,3 to 7,129.8055710922652
4,14 to 16,-11.309932474020213
4,23 to 25,171.2538377374448
4,28 to 30,-160.20112364547506
4,11 to 23,-92.12109639666146
4,27 to 31,22.109448343751673
4,16 to 18,-108.43494882292202
4,25 to 27,133.8308606720926
5,15 to 21,-45.0
5,16 to 20,-53.13010235415598
5,18 to 20,-41.98721249581666
5,3 to 7,132.70938995736148
5,14 to 16,14.036243467926479
5,23 to 25,180.0
5,28 to 30,-161.17528998175993
5,11 to 23,-93.3664606634298
5,27 to 31,23.574706201912615
5,16 to 18,-108.43494882292202
5,25 to 27,135.0
6,15 to 21,-32.005383208083494
6,16 to 20,-33.690067525979785
6,18 to 20,-21.80140948635181
6,3 to 7,142.12501634890182
6,14 to 16,23.19859051364819
6,23 to 25,180.0
6,28 to 30,-155.13630342824814
6,11 to 23,-88.91907581333932
6,27 to 31,32.19573393471325
6,16 to 18,-116.56505117707799
6,25 to 27,148.2985703304943
7,15 to 21,0.0
7,16 to 20,0.0
7,18 to 20,36.86989764584402
7,3 to 7,-135.0
7,14 to 16,45.0
7,23 to 25,-26.56505117707799
7,28 to 30,-148.17255342332692
7,11 to 23,-88.93908830973577
7,27 to 31,37.874983651098205
7,16 to 18,-108.43494882292202
7,25 to 27,148.5704343851615
8,15 to 21,144.46232220802563
8,16 to 20,146.30993247402023
8,18 to 20,119.74488129694222
8,3 to 7,-138.01278750418336
8,14 to 16,23.19859051364819
8,23 to 25,-33.690067525979785
8,28 to 30,0.0
8,11 to 23,-72.34987578006988
8,27 to 31,36.86989764584402
8,16 to 18,-123.69006752597979
8,25 to 27,110.69545073406329
9,15 to 21,-14.036243467926479
9,16 to 20,-18.43494882292201
9,18 to 20,-4.398705354995532
9,3 to 7,-171.0273733851036
9,14 to 16,38.65980825409009
9,23 to 25,-18.43494882292201
9,28 to 30,45.0
9,11 to 23,-65.32313682966294
9,27 to 31,14.036243467926479
9,16 to 18,-108.43494882292202
9,25 to 27,104.03624346792648
10,15 to 21,-6.009005957494525
10,16 to 20,-8.972626614896393
10,18 to 20,-3.0127875041833403
10,3 to 7,-173.6598082540901
10,14 to 16,37.874983651098205
10,23 to 25,-12.528807709151511
10,28 to 30,9.462322208025617
10,11 to 23,-68.87528085392752
10,27 to 31,48.81407483429036
10,16 to 18,-90.0
10,25 to 27,109.88516511385545
11,15 to 21,-14.036243467926479
11,16 to 20,-23.19859051364819
11,18 to 20,-6.34019174590991
11,3 to 7,180.0
11,14 to 16,12.804266065286752
11,23 to 25,-12.528807709151511
11,28 to 30,45.0
11,11 to 23,-74.21924669048461
11,27 to 31,18.43494882292201
11,16 to 18,-135.0
11,25 to 27,110.07152586453873
12,15 to 21,180.0
12,16 to 20,-167.47119229084848
12,18 to 20,-172.8749836510982
12,3 to 7,175.6012946450045
12,14 to 16,7.765166018425333
12,23 to 25,-14.931417178137554
12,28 to 30,-6.34019174590991
12,11 to 23,-77.0053832080835
12,27 to 31,135.0
12,16 to 18,-135.0
12,25 to 27,97.25319461272534
13,15 to 21,176.24827092947405
13,16 to 20,176.24827092947405
13,18 to 20,175.15599962491933
13,3 to 7,0.0
13,14 to 16,-4.899092453787765
13,23 to 25,-15.945395900922854
13,28 to 30,0.0
13,11 to 23,-74.47588900324574
13,27 to 31,173.99099404250546
13,16 to 18,-153.434948822922
13,25 to 27,86.1214754971523
14,15 to 21,173.94580810588516
14,16 to 20,172.3493490446406
14,18 to 20,171.38435181583588
14,3 to 7,3.6913859864512757
14,14 to 16,-13.324531261890785
14,23 to 25,-13.240519915187205
14,28 to 30,-1.4688007143858246
14,11 to 23,-73.49563861824498
14,27 to 31,173.8844964337146
14,16 to 18,-135.0
14,25 to 27,80.0493733120484
15,15 to 21,172.67359333983046
15,16 to 20,171.1932073055647
15,18 to 20,170.13419305691565
15,3 to 7,3.4682292589171477
15,14 to 16,-16.31385242626056
15,23 to 25,-15.524110996754258
15,28 to 30,-2.3859440303888126
15,11 to 23,-69.92847413546127
15,27 to 31,175.36453657309735
15,16 to 18,-153.434948822922
15,25 to 27,75.00492087082402
16,15 to 21,171.63411387596742
16,16 to 20,168.36636600105956
16,18 to 20,167.38067770656923
16,3 to 7,8.880659150520245
16,14 to 16,-23.385221057213755
16,23 to 25,-7.765166018425333
16,28 to 30,-1.123302714075429
16,11 to 23,-67.79652146794261
16,27 to 31,174.68545433005525
16,16 to 18,-135.0
16,25 to 27,73.90918365114783
17,15 to 21,42.70938995736147
17,16 to 20,47.12109639666146
17,18 to 20,51.34019174590991
17,3 to 7,51.34019174590991
17,14 to 16,-140.4403320310055
17,23 to 25,0.0
17,28 to 30,2.0825652797308845
17,11 to 23,-65.37643521383639
17,27 to 31,180.0
17,16 to 18,-45.0
17,25 to 27,74.9315118405078
18,15 to 21,14.036243467926479
18,16 to 20,15.42216131873867
18,18 to 20,15.945395900922854
18,3 to 7,101.30993247402021
18,14 to 16,-156.3706222693432
18,23 to 25,0.0
18,28 to 30,3.1798301198642345
18,11 to 23,-63.94650468950905
18,27 to 31,178.7269699799433
18,16 to 18,0.0
18,25 to 27,77.82854179141253
19,15 to 21,11.309932474020213
19,16 to 20,11.976132444203355
19,18 to 20,15.945395900922854
19,3 to 7,160.01689347810003
19,14 to 16,-154.4400348281762
19,23 to 25,-8.13010235415598
19,28 to 30,5.290081205371269
19,11 to 23,-56.659292653523
19,27 to 31,177.6140559696112
19,16 to 18,-11.309932474020213
19,25 to 27,78.05582281155367
20,15 to 21,-13.240519915187205
20,16 to 20,-16.389540334034784
20,18 to 20,-10.007979801441337
20,3 to 7,175.91438322002512
20,14 to 16,12.528807709151511
20,23 to 25,-9.462322208025617
20,28 to 30,13.76078511179124
20,11 to 23,-45.0
20,27 to 31,-178.7269699799433
20,16 to 18,-90.0
20,25 to 27,84.61068824002659
21,15 to 21,-1.8476102659945959
21,16 to 20,-3.6913859864512757
21,18 to 20,0.0
21,3 to 7,180.0
21,14 to 16,153.434948822922
21,23 to 25,-17.35402463626132
21,28 to 30,22.03622694014545
21,11 to 23,-35.53767779197438
21,27 to 31,-173.36748538486154
21,16 to 18,-90.0
21,25 to 27,88.93908830973577
22,15 to 21,-172.8749836510982
22,16 to 20,-170.53767779197437
22,18 to 20,-176.63353933657018
22,3 to 7,-90.0
22,14 to 16,16.389540334034784
22,23 to 25,-21.80140948635181
22,28 to 30,39.28940686250036
22,11 to 23,-32.82854179141253
22,27 to 31,-144.24611274556327
22,16 to 18,-116.56505117707799
22,25 to 27,91.90915243299638
23,15 to 21,-6.7098368077569335
23,16 to 20,-3.0127875041833403
23,18 to 20,3.0127875041833403
23,3 to 7,-165.96375653207352
23,14 to 16,116.56505117707799
23,23 to 25,0.0
23,28 to 30,46.16913932790742
23,11 to 23,-42.87890360333855
23,27 to 31,-129.0938588862295
23,16 to 18,-90.0
23,25 to 27,92.96093613416376
24,15 to 21,-168.6900675259798
24,16 to 20,-164.05460409907712
24,18 to 20,161.565051177078
24,3 to 7,-45.0
24,14 to 16,81.2538377374448
24,23 to 25,90.0
24,28 to 30,59.03624346792648
24,11 to 23,-46.16913932790742
24,27 to 31,-101.30993247402021
24,16 to 18,-104.03624346792648
24,25 to 27,97.00126755749534
