Frame,Joint,Angle (Degrees)
36,3 to 7,-90.0
36,23 to 25,135.0
36,28 to 30,108.43494882292202
36,11 to 23,-85.0302592718897
36,27 to 31,-23.629377730656817
36,25 to 27,93.1363583683326
37,3 to 7,-93.01278750418334
37,23 to 25,75.96375653207353
37,28 to 30,71.56505117707799
37,11 to 23,-88.31531568210372
37,27 to 31,-26.56505117707799
37,25 to 27,90.81845546168861
38,3 to 7,-101.30993247402021
38,23 to 25,66.80140948635182
38,28 to 30,36.86989764584402
38,11 to 23,-88.29018595585848
38,27 to 31,-48.01278750418334
38,25 to 27,88.29018595585848
39,3 to 7,-109.6538240580533
39,23 to 25,71.56505117707799
39,28 to 30,19.98310652189998
39,11 to 23,-90.86805144974555
39,27 to 31,-67.38013505195957
39,25 to 27,81.5110561194953
40,3 to 7,-108.43494882292202
40,23 to 25,59.03624346792648
40,28 to 30,14.931417178137554
40,11 to 23,-90.0
40,27 to 31,-94.76364169072617
40,25 to 27,79.01934998982645
41,3 to 7,-118.61045966596521
41,23 to 25,108.43494882292202
41,28 to 30,56.309932474020215
41,11 to 23,-96.80905017961341
41,27 to 31,-35.53767779197438
41,25 to 27,79.84573341979974
42,3 to 7,-106.69924423399362
42,23 to 25,135.0
42,28 to 30,63.43494882292201
42,11 to 23,-95.96448710125313
42,27 to 31,-14.743562836470735
42,25 to 27,81.3843518158359
43,3 to 7,-94.76364169072617
43,23 to 25,168.6900675259798
43,28 to 30,90.0
43,11 to 23,-92.52611691161955
43,27 to 31,-10.619655276155134
43,25 to 27,82.5685920288275
44,3 to 7,-85.60129464500447
44,23 to 25,-161.565051177078
44,28 to 30,45.0
44,11 to 23,-90.84252426074042
44,27 to 31,-10.619655276155134
44,25 to 27,85.91438322002513
45,3 to 7,-94.08561677997488
45,23 to 25,180.0
45,28 to 30,175.6012946450045
45,11 to 23,-88.33971763101721
45,27 to 31,-3.6913859864512757
45,25 to 27,99.7275785514016
46,3 to 7,-90.0
46,23 to 25,170.53767779197437
46,28 to 30,177.70938995736148
46,11 to 23,-87.54596832547293
46,27 to 31,-2.5448043798130953
46,25 to 27,103.84069549165562
47,3 to 7,-85.60129464500447
47,23 to 25,180.0
47,28 to 30,172.8749836510982
47,11 to 23,-86.7754773934801
47,27 to 31,-3.1798301198642345
47,25 to 27,102.52880770915151
48,3 to 7,-77.0053832080835
48,23 to 25,180.0
48,28 to 30,175.6012946450045
48,11 to 23,-84.03551289874689
48,27 to 31,1.9749340108819766
48,25 to 27,103.84069549165562
49,3 to 7,-72.89727103094764
49,23 to 25,180.0
49,28 to 30,-153.434948822922
49,11 to 23,-85.0302592718897
49,27 to 31,9.462322208025617
49,25 to 27,107.9044475062482
50,16 to 20,129.28940686250036
50,18 to 20,117.89727103094764
50,3 to 7,-71.56505117707799
50,14 to 16,15.945395900922854
50,23 to 25,171.86989764584402
50,28 to 30,-155.55604521958347
50,11 to 23,-84.28940686250037
50,27 to 31,14.036243467926479
50,16 to 18,-90.0
50,25 to 27,110.35322914806883
51,15 to 21,132.51044707800085
51,16 to 20,127.56859202882748
51,18 to 20,116.56505117707799
51,3 to 7,-65.55604521958347
51,14 to 16,11.309932474020213
51,23 to 25,180.0
51,28 to 30,-153.434948822922
51,11 to 23,-82.5685920288275
51,27 to 31,17.198541220065866
