Frame,Joint,Angle (Degrees)
1,15 to 21,10.304846468766033
1,16 to 20,5.710593137499642
1,18 to 20,19.98310652189998
1,3 to 7,-164.05460409907712
1,14 to 16,37.874983651098205
1,23 to 25,0.0
1,28 to 30,32.15229514128234
1,11 to 23,-34.43898930880361
1,27 to 31,-168.36636600105956
1,16 to 18,-108.43494882292202
1,25 to 27,94.92710994764901
2,15 to 21,180.0
2,16 to 20,-174.28940686250036
2,18 to 20,167.47119229084848
2,3 to 7,-150.25511870305778
2,14 to 16,22.833654177917545
2,23 to 25,6.34019174590991
2,28 to 30,39.40066066347943
2,11 to 23,-36.86989764584402
2,27 to 31,-155.3764352138364
2,16 to 18,-108.43494882292202
2,25 to 27,97.1250163489018
3,15 to 21,-168.6900675259798
3,16 to 20,-153.434948822922
3,18 to 20,168.6900675259798
3,3 to 7,135.0
3,14 to 16,22.619864948040426
3,23 to 25,90.0
3,28 to 30,50.19442890773481
3,11 to 23,-38.15722658736906
3,27 to 31,-122.47119229084849
3,16 to 18,-104.03624346792648
3,25 to 27,100.68491240000272
4,15 to 21,-45.0
4,16 to 20,-26.56505117707799
4,18 to 20,21.80140948635181
4,3 to 7,144.46232220802563
4,14 to 16,5.710593137499642
4,23 to 25,158.19859051364818
4,28 to 30,80.53767779197439
4,11 to 23,-46.08092418666069
4,27 to 31,-71.56505117707799
4,16 to 18,-104.03624346792648
4,25 to 27,102.17145820858748
5,15 to 21,-42.510447078000844
5,16 to 20,-39.80557109226519
5,18 to 20,-28.30075576600638
5,3 to 7,137.29061004263855
5,14 to 16,18.43494882292201
5,23 to 25,159.44395478041653
5,28 to 30,105.94539590092286
5,11 to 23,-61.85839876773828
5,27 to 31,-19.65382405805331
5,16 to 18,-108.43494882292202
5,25 to 27,101.30993247402021
6,15 to 21,-26.56505117707799
6,16 to 20,-25.641005824305285
6,18 to 20,-19.093492000485615
6,3 to 7,143.9726266148964
6,14 to 16,-9.462322208025617
6,23 to 25,166.6075022462489
6,28 to 30,137.48955292199918
6,11 to 23,-67.61986494804043
6,27 to 31,-9.462322208025617
6,16 to 18,-108.43494882292202
6,25 to 27,99.7824070318073
7,15 to 21,-27.299572211332805
7,16 to 20,-27.979474388480146
