Frame,Joint,X,Y
1,0,74,49
1,1,73,44
1,2,73,44
1,3,73,44
1,4,72,44
1,5,72,44
1,6,71,44
1,7,69,46
1,8,66,45
1,9,73,54
1,10,71,54
1,11,64,79
1,12,58,70
1,13,70,120
1,14,68,118
1,15,84,152
1,16,85,150
1,17,88,159
1,18,88,162
1,19,89,159
1,20,88,159
1,21,87,156
1,22,89,154
1,23,55,150
1,24,53,152
1,25,55,205
1,26,60,207
1,27,41,249
1,28,42,250
1,29,36,256
1,30,35,254
1,31,51,265
1,32,50,271
2,0,76,49
2,1,75,45
2,2,75,45
2,3,75,45
2,4,74,44
2,5,74,44
2,6,73,44
2,7,70,46
2,8,68,45
2,9,75,55
2,10,74,54
2,11,67,80
2,12,58,70
2,13,75,120
2,14,52,113
2,15,92,150
2,16,41,146
2,17,97,158
2,18,38,155
2,19,97,157
2,20,41,156
2,21,95,155
2,22,41,153
2,23,60,151
2,24,56,152
2,25,57,205
2,26,64,204
2,27,45,253
2,28,46,250
2,29,41,261
2,30,40,257
2,31,58,268
2,32,56,268
3,0,80,49
3,1,79,45
3,2,79,45
3,3,79,45
3,4,78,44
3,5,78,44
3,6,77,44
3,7,75,46
3,8,72,45
3,9,79,55
3,10,78,54
3,11,72,82
3,12,60,71
3,13,80,122
3,14,50,111
3,15,100,144
3,16,38,142
3,17,105,151
3,18,35,150
3,19,105,149
3,20,36,151
3,21,104,147
3,22,37,149
3,23,64,152
3,24,59,152
3,25,59,205
3,26,69,201
3,27,50,253
3,28,53,251
3,29,45,262
3,30,46,258
3,31,61,266
3,32,63,268
4,0,83,50
4,1,83,45
4,2,82,45
4,3,82,45
4,4,82,45
4,5,81,44
4,6,80,44
4,7,78,46
4,8,76,46
4,9,82,55
4,10,81,55
4,11,75,82
4,12,64,72
4,13,85,122
4,14,49,110
4,15,104,139
4,16,35,140
4,17,109,144
4,18,31,147
4,19,109,142
4,20,33,148
4,21,108,141
4,22,35,146
4,23,67,155
4,24,64,155
4,25,59,205
4,26,77,202
4,27,51,260
4,28,69,254
4,29,45,268
4,30,67,262
4,31,62,271
4,32,80,269
5,0,87,50
5,1,85,45
5,2,85,45
5,3,85,45
5,4,84,45
5,5,84,45
5,6,83,45
5,7,81,47
5,8,79,47
5,9,85,56
5,10,84,55
5,11,78,83
5,12,67,73
5,13,89,121
5,14,50,109
5,15,109,135
5,16,36,137
5,17,114,138
5,18,32,145
5,19,115,136
5,20,33,146
5,21,113,135
5,22,35,145
5,23,70,157
5,24,68,157
5,25,60,208
5,26,83,203
5,27,49,261
5,28,82,255
5,29,44,271
5,30,80,263
5,31,62,272
5,32,94,268
6,0,91,54
6,1,90,48
6,2,90,48
6,3,90,48
6,4,90,48
6,5,89,48
6,6,88,48
6,7,85,48
6,8,84,48
6,9,90,59
6,10,89,59
6,11,81,83
6,12,72,74
6,13,92,121
6,14,53,108
6,15,113,132
6,16,38,136
6,17,118,135
6,18,33,143
6,19,119,132
6,20,35,145
6,21,117,132
6,22,37,144
6,23,74,158
6,24,72,157
6,25,61,208
6,26,85,203
6,27,49,262
6,28,93,256
6,29,44,271
6,30,92,265
6,31,63,272
6,32,106,265
7,0,95,56
7,1,94,50
7,2,94,50
7,3,94,49
7,4,94,50
7,5,93,50
7,6,93,50
7,7,89,50
7,8,88,50
7,9,94,61
7,10,93,61
7,11,85,84
7,12,76,76
7,13,95,121
7,14,53,109
7,15,116,131
7,16,40,135
7,17,121,133
7,18,36,142
7,19,122,130
7,20,37,144
7,21,120,130
7,22,39,143
7,23,77,157
7,24,75,156
7,25,64,208
7,26,88,205
7,27,49,262
7,28,102,257
7,29,44,271
7,30,102,266
7,31,63,272
7,32,116,262
8,0,98,59
8,1,97,53
8,2,96,53
8,3,96,52
8,4,96,53
8,5,96,53
8,6,95,53
8,7,91,53
8,8,91,53
8,9,97,64
8,10,96,63
8,11,87,84
8,12,82,77
8,13,97,122
8,14,60,109
8,15,118,131
8,16,44,137
8,17,123,132
8,18,40,144
8,19,124,129
8,20,41,146
8,21,123,129
8,22,43,144
8,23,80,159
8,24,80,158
8,25,66,210
8,26,94,207
8,27,49,261
8,28,110,258
8,29,43,270
8,30,110,268
8,31,63,272
8,32,124,260
9,0,103,61
9,1,101,55
9,2,101,55
9,3,101,54
9,4,101,55
9,5,101,55
9,6,100,55
9,7,96,55
9,8,96,55
9,9,101,65
9,10,100,65
9,11,88,86
9,12,89,80
9,13,92,118
9,14,71,119
9,15,97,133
9,16,59,145
9,17,99,136
9,18,55,148
9,19,100,134
9,20,56,150
9,21,99,133
9,22,57,149
9,23,83,163
9,24,86,162
9,25,69,211
9,26,99,208
9,27,50,261
9,28,113,258
9,29,44,270
9,30,113,267
9,31,63,272
9,32,126,261
10,0,106,62
10,1,105,56
10,2,104,55
