Frame,Joint,Angle (Degrees)
0,3 to 7,127.3493490446406
0,23 to 25,180.0
0,28 to 30,175.91438322002512
0,11 to 23,-100.4914770123316
0,27 to 31,-7.907162702958458
0,25 to 27,108.43494882292202
1,3 to 7,131.63353933657018
1,23 to 25,180.0
1,28 to 30,175.98582430458896
1,11 to 23,-99.8193006387579
1,27 to 31,-5.552971033036804
1,25 to 27,110.67442476087389
2,3 to 7,134.09061955080085
2,23 to 25,178.09084756700364
2,28 to 30,179.01223960036018
2,11 to 23,-97.66680426181418
2,27 to 31,-0.8069294551023745
2,25 to 27,115.14478563067895
3,3 to 7,137.12109639666144
3,23 to 25,177.9545915111128
3,28 to 30,-175.84035770628736
3,11 to 23,-94.39870535499554
3,27 to 31,6.613460482314756
3,25 to 27,121.15930450834438
4,3 to 7,141.95295746817393
4,23 to 25,170.53767779197437
4,28 to 30,-168.05582281155367
4,11 to 23,-91.06091169026423
4,27 to 31,13.62699485989154
4,25 to 27,128.08877288097534
5,3 to 7,146.30993247402023
5,23 to 25,161.565051177078
5,28 to 30,-158.19859051364818
5,11 to 23,-91.06091169026423
5,27 to 31,25.796026494499948
5,25 to 27,144.63753811293097
6,3 to 7,148.39249775375112
6,23 to 25,153.434948822922
6,28 to 30,-149.47029410006587
6,11 to 23,-86.82016988013577
6,27 to 31,33.690067525979785
6,25 to 27,157.61986494804043
7,3 to 7,-161.565051177078
7,23 to 25,63.43494882292201
7,28 to 30,-142.5238204386386
7,11 to 23,-87.83892051177364
7,27 to 31,37.874983651098205
7,25 to 27,152.78388844269253
8,3 to 7,-165.96375653207352
8,23 to 25,18.43494882292201
8,28 to 30,-136.46880071438582
8,11 to 23,-85.76360520094116
8,27 to 31,37.874983651098205
8,25 to 27,138.12213046211573
9,15 to 21,-167.47119229084848
9,16 to 20,-156.80140948635182
9,18 to 20,-170.53767779197437
9,3 to 7,176.42366562500266
9,14 to 16,10.124671655397817
9,23 to 25,-11.309932474020213
9,28 to 30,-53.13010235415598
9,11 to 23,-70.3461759419467
9,27 to 31,68.19859051364818
9,16 to 18,-116.56505117707799
9,25 to 27,108.8531587644191
10,15 to 21,-14.036243467926479
10,16 to 20,-18.43494882292201
10,18 to 20,-10.619655276155134
10,3 to 7,176.05481377096245
10,14 to 16,23.19859051364819
10,23 to 25,-15.255118703057777
10,28 to 30,-30.96375653207352
10,11 to 23,-71.93952806380082
10,27 to 31,56.309932474020215
10,16 to 18,-116.56505117707799
10,25 to 27,112.01128319791937
11,15 to 21,165.67728002179646
11,16 to 20,161.96571443287016
11,18 to 20,159.90476880809518
