Frame,Joint,Angle (Degrees)
23,15 to 21,84.8055710922652
23,16 to 20,79.69515353123397
23,18 to 20,81.86989764584403
23,3 to 7,-113.19859051364818
23,14 to 16,-18.43494882292201
23,23 to 25,90.0
23,28 to 30,49.398705354995535
23,11 to 23,-90.0
23,27 to 31,-28.61045966596522
23,16 to 18,-90.0
23,25 to 27,86.47854662307776
24,15 to 21,90.0
24,16 to 20,90.0
24,18 to 20,85.60129464500447
24,3 to 7,-110.55604521958347
24,14 to 16,15.945395900922854
24,23 to 25,78.69006752597979
24,28 to 30,29.054604099077146
24,11 to 23,-88.21008939175394
24,27 to 31,-45.0
24,16 to 18,-104.03624346792648
24,25 to 27,83.85337434035333
25,15 to 21,98.13010235415598
25,16 to 20,81.86989764584403
25,18 to 20,85.23635830927383
25,3 to 7,-116.56505117707799
25,14 to 16,20.556045219583467
25,23 to 25,75.96375653207353
25,28 to 30,-11.309932474020213
25,11 to 23,-91.73570458892839
25,27 to 31,-17.102728969052375
25,16 to 18,-90.0
25,25 to 27,84.8055710922652
26,15 to 21,116.56505117707799
26,16 to 20,98.13010235415598
26,18 to 20,90.0
26,3 to 7,-110.55604521958347
26,14 to 16,16.69924423399362
26,23 to 25,90.0
26,28 to 30,0.0
26,11 to 23,-91.6846843178963
26,27 to 31,0.0
26,16 to 18,-104.03624346792648
26,25 to 27,85.66768601681149
27,15 to 21,130.6012946450045
27,16 to 20,119.74488129694222
27,18 to 20,104.03624346792648
27,3 to 7,-90.0
27,14 to 16,19.98310652189998
27,23 to 25,146.30993247402023
27,28 to 30,180.0
27,11 to 23,-92.45403167452707
27,27 to 31,7.765166018425333
27,16 to 18,-101.30993247402021
27,25 to 27,88.26429541107161
28,15 to 21,138.81407483429035
28,16 to 20,125.53767779197437
28,18 to 20,108.43494882292202
28,3 to 7,-90.0
28,14 to 16,32.47119229084849
28,23 to 25,116.56505117707799
28,28 to 30,0.0
28,11 to 23,-89.18154453831139
28,27 to 31,0.0
28,16 to 18,-101.30993247402021
28,25 to 27,87.51044707800085
29,15 to 21,124.99202019855868
29,16 to 20,121.75948008481281
29,18 to 20,115.64100582430528
29,3 to 7,-68.19859051364818
29,14 to 16,-25.20112364547507
29,23 to 25,180.0
29,28 to 30,-108.43494882292202
29,11 to 23,-86.7754773934801
29,27 to 31,5.710593137499642
29,16 to 18,-104.03624346792648
29,25 to 27,90.80692945510238
30,15 to 21,133.26429541107163
30,16 to 20,126.86989764584402
30,18 to 20,119.24882633654698
30,3 to 7,-68.19859051364818
30,14 to 16,-19.44003482817619
30,23 to 25,-165.96375653207352
30,28 to 30,-165.96375653207352
30,11 to 23,-86.68221883166515
30,27 to 31,3.0127875041833403
30,16 to 18,-101.30993247402021
30,25 to 27,90.79572355273929
31,3 to 7,-74.74488129694222
31,23 to 25,153.434948822922
31,28 to 30,158.19859051364818
31,11 to 23,-85.79464299829141
31,27 to 31,-8.13010235415598
31,25 to 27,93.17983011986423
32,3 to 7,-68.19859051364818
32,23 to 25,153.434948822922
32,28 to 30,168.6900675259798
32,11 to 23,-84.88268515002737
32,27 to 31,-5.194428907734806
32,25 to 27,94.89909245378777
33,3 to 7,-77.47119229084849
33,23 to 25,168.6900675259798
33,28 to 30,159.44395478041653
33,11 to 23,-83.94580810588516
33,27 to 31,-2.2025981617658053
33,25 to 27,98.13010235415598
34,15 to 21,162.6459753637387
34,16 to 20,165.06858282186246
34,18 to 20,148.39249775375112
34,3 to 7,-71.56505117707799
34,14 to 16,26.56505117707799
34,23 to 25,171.86989764584402
34,28 to 30,176.18592516570965
34,11 to 23,-83.08877288097531
