Frame,Joint,Angle (Degrees)
58,3 to 7,-94.76364169072617
58,23 to 25,101.30993247402021
58,28 to 30,116.56505117707799
58,11 to 23,-90.0
58,27 to 31,-19.44003482817619
58,25 to 27,90.0
59,3 to 7,-109.98310652189998
59,23 to 25,59.03624346792648
59,28 to 30,51.34019174590991
59,11 to 23,-91.73570458892839
59,27 to 31,-33.690067525979785
59,25 to 27,86.53177074108285
60,3 to 7,-109.98310652189998
60,23 to 25,56.309932474020215
60,28 to 30,48.81407483429036
60,11 to 23,-90.0
60,27 to 31,-45.0
60,25 to 27,87.39743779750019
61,3 to 7,-106.69924423399362
61,23 to 25,90.0
61,28 to 30,75.96375653207353
61,11 to 23,-90.0
61,27 to 31,-23.19859051364819
61,25 to 27,88.26429541107161
62,3 to 7,-101.30993247402021
62,23 to 25,90.0
62,28 to 30,90.0
62,11 to 23,-89.18154453831139
62,27 to 31,-29.357753542791276
62,25 to 27,90.0
63,3 to 7,-95.71059313749964
63,23 to 25,90.0
63,28 to 30,68.19859051364818
63,11 to 23,-89.19307054489762
63,27 to 31,-32.47119229084849
63,25 to 27,87.54596832547293
64,3 to 7,-86.18592516570965
64,23 to 25,135.0
64,28 to 30,90.0
64,11 to 23,-88.40885972880542
64,27 to 31,-16.389540334034784
64,25 to 27,88.40885972880542
65,3 to 7,-86.42366562500266
65,23 to 25,146.30993247402023
65,28 to 30,116.56505117707799
65,11 to 23,-87.58049078334366
65,27 to 31,-14.036243467926479
65,25 to 27,90.0
66,3 to 7,-90.0
66,23 to 25,161.565051177078
66,28 to 30,108.43494882292202
66,11 to 23,-85.73210669970919
66,27 to 31,-13.240519915187205
66,25 to 27,91.59114027119459
67,3 to 7,-77.0053832080835
67,23 to 25,135.0
67,28 to 30,75.96375653207353
67,11 to 23,-85.97173633351487
67,27 to 31,-25.016893478100023
67,25 to 27,92.32153058983272
68,3 to 7,-80.53767779197439
68,23 to 25,116.56505117707799
68,28 to 30,90.0
68,11 to 23,-85.97173633351487
68,27 to 31,-25.016893478100023
68,25 to 27,93.09405805891711
69,3 to 7,-85.23635830927383
69,23 to 25,146.30993247402023
69,28 to 30,111.80140948635182
69,11 to 23,-85.97173633351487
69,27 to 31,-10.007979801441337
69,25 to 27,93.17983011986423
70,3 to 7,-90.0
70,23 to 25,153.434948822922
70,28 to 30,111.80140948635182
70,11 to 23,-84.12260739335687
70,27 to 31,-10.007979801441337
70,25 to 27,94.83041995828995
71,3 to 7,-84.28940686250037
71,23 to 25,165.96375653207352
71,28 to 30,135.0
71,11 to 23,-83.38653951768524
71,27 to 31,-6.7098368077569335
71,25 to 27,95.71059313749964
72,3 to 7,-79.69515353123397
72,23 to 25,165.96375653207352
72,28 to 30,161.565051177078
72,11 to 23,-78.69006752597979
72,27 to 31,8.13010235415598
72,25 to 27,101.30993247402021
73,15 to 21,160.3461759419467
73,16 to 20,155.55604521958347
73,18 to 20,135.0
73,3 to 7,-66.03751102542182
73,14 to 16,26.56505117707799
73,23 to 25,135.0
73,28 to 30,153.434948822922
73,11 to 23,-77.96940390346214
73,27 to 31,6.7098368077569335
73,16 to 18,-101.30993247402021
73,25 to 27,100.95406264339833
74,15 to 21,161.565051177078
74,16 to 20,161.565051177078
74,18 to 20,142.43140797117252
74,3 to 7,-71.56505117707799
74,14 to 16,24.22774531795417
74,23 to 25,63.43494882292201
74,28 to 30,71.56505117707799
74,11 to 23,-77.366638064725
74,27 to 31,10.304846468766033
74,16 to 18,-111.80140948635182
74,25 to 27,100.95406264339833
75,15 to 21,165.96375653207352
75,16 to 20,166.75948008481282
75,18 to 20,149.03624346792648
75,3 to 7,-71.56505117707799
75,14 to 16,25.463345061871614
75,23 to 25,33.690067525979785
75,28 to 30,29.74488129694222
75,11 to 23,-77.57405713457253
75,27 to 31,34.99202019855866
75,16 to 18,-111.80140948635182
75,25 to 27,99.01932243138168
76,15 to 21,169.69515353123398
76,16 to 20,171.0273733851036
76,18 to 20,157.61986494804043
76,3 to 7,-60.94539590092286
76,14 to 16,25.559965171823812
76,23 to 25,45.0
76,28 to 30,30.256437163529263
76,11 to 23,-74.57783868126133
76,27 to 31,33.690067525979785
76,16 to 18,-116.56505117707799
76,25 to 27,95.1944289077348
77,15 to 21,163.3007557660064
77,16 to 20,164.47588900324575
77,18 to 20,150.64224645720873
77,3 to 7,-73.30075576600639
77,14 to 16,20.556045219583467
77,23 to 25,56.309932474020215
77,28 to 30,24.623564786163612
77,11 to 23,-73.66395711028154
77,27 to 31,-175.2363583092738
77,16 to 18,-116.56505117707799
77,25 to 27,83.1909498203866
78,15 to 21,162.34987578006988
78,16 to 20,165.96375653207352
78,18 to 20,153.434948822922
78,3 to 7,-66.03751102542182
78,14 to 16,17.650124219930124
78,23 to 25,23.962488974578186
78,28 to 30,19.536654938128386
78,11 to 23,-75.73548770192009
78,27 to 31,-177.13759477388825
78,16 to 18,-116.56505117707799
78,25 to 27,80.67640822186199
79,15 to 21,156.50143432404792
79,16 to 20,159.14554196042167
79,18 to 20,149.93141717813756
79,3 to 7,-60.94539590092286
79,14 to 16,10.304846468766033
79,23 to 25,9.462322208025617
79,28 to 30,14.036243467926479
79,11 to 23,-75.73548770192009
79,27 to 31,-175.6012946450045
79,16 to 18,-123.69006752597979
79,25 to 27,79.99202019855866
80,15 to 21,158.19859051364818
80,16 to 20,161.565051177078
80,18 to 20,153.434948822922
80,3 to 7,-60.94539590092286
80,14 to 16,9.865806943084367
80,23 to 25,10.304846468766033
80,28 to 30,16.14433878028348
80,11 to 23,-72.47443162627712
80,27 to 31,-173.8844964337146
80,16 to 18,-123.69006752597979
80,25 to 27,80.13419305691563
81,15 to 21,152.52556837372288
81,16 to 20,152.4471884232822
81,18 to 20,144.46232220802563
