Frame,Joint,X,Y
7,0,51,94
7,1,50,88
7,2,50,87
7,3,50,87
7,4,49,87
7,5,48,87
7,6,48,87
7,7,44,88
7,8,42,88
7,9,49,100
7,10,48,100
7,11,42,121
7,12,30,116
7,13,42,163
7,14,30,165
7,15,45,195
7,16,37,203
7,17,47,209
7,18,38,215
7,19,47,208
7,20,39,212
7,21,46,204
7,22,40,211
7,23,42,205
7,24,34,205
7,25,44,258
7,26,38,259
7,27,43,316
7,28,40,320
7,29,41,323
7,30,37,328
7,31,58,333
7,32,51,340
8,0,51,94
8,1,50,88
8,2,50,88
8,3,50,88
8,4,50,88
8,5,49,87
8,6,48,87
8,7,46,89
8,8,43,88
8,9,50,100
8,10,49,100
8,11,44,121
8,12,30,115
8,13,44,162
8,14,30,164
8,15,50,196
8,16,36,204
8,17,50,209
8,18,36,216
8,19,50,208
8,20,39,214
8,21,49,204
8,22,39,211
8,23,45,205
8,24,36,205
8,25,46,256
8,26,40,259
8,27,45,312
8,28,42,311
8,29,42,319
8,30,39,320
8,31,57,329
8,32,51,334
9,0,51,94
9,1,51,88
9,2,51,88
9,3,50,88
9,4,50,88
9,5,49,88
9,6,48,87
9,7,46,89
9,8,43,88
9,9,50,100
9,10,49,100
9,11,44,121
9,12,30,115
9,13,46,162
9,14,31,163
9,15,53,197
9,16,36,204
9,17,54,209
9,18,36,216
9,19,54,209
9,20,39,215
9,21,53,205
9,22,39,212
9,23,45,205
9,24,37,205
9,25,48,258
9,26,43,260
9,27,45,312
9,28,43,313
9,29,42,320
9,30,39,322
9,31,56,330
9,32,51,334
10,0,52,94
10,1,51,88
10,2,51,88
10,3,51,88
10,4,50,88
10,5,50,88
10,6,49,88
10,7,47,89
10,8,44,89
10,9,51,100
10,10,50,99
10,11,45,121
10,12,31,115
10,13,48,162
10,14,31,162
10,15,56,197
10,16,36,204
10,17,58,208
10,18,36,216
10,19,58,208
10,20,39,215
10,21,56,204
10,22,39,211
10,23,46,205
10,24,39,206
10,25,48,259
10,26,46,260
10,27,46,313
10,28,45,313
10,29,42,320
10,30,41,322
10,31,56,329
10,32,54,332
11,0,53,94
11,1,52,88
11,2,52,88
11,3,52,88
11,4,51,88
11,5,50,88
11,6,50,88
11,7,47,89
11,8,45,89
11,9,52,99
11,10,51,99
11,11,46,121
11,12,31,116
11,13,50,161
11,14,32,162
11,15,58,196
11,16,36,205
11,17,60,207
11,18,36,217
11,19,60,207
11,20,39,215
11,21,59,203
11,22,39,212
11,23,47,205
11,24,39,206
11,25,49,260
11,26,47,260
11,27,48,313
11,28,47,314
11,29,43,321
11,30,41,322
11,31,58,330
11,32,56,332
12,0,53,94
12,1,52,88
12,2,52,88
12,3,52,88
12,4,52,88
12,5,51,88
12,6,50,88
12,7,48,89
12,8,45,89
12,9,52,99
12,10,51,99
12,11,48,121
12,12,32,116
12,13,52,160
12,14,32,161
12,15,60,195
12,16,36,205
12,17,63,204
12,18,36,217
12,19,62,205
12,20,39,215
12,21,61,201
12,22,39,212
12,23,47,205
12,24,39,205
12,25,50,260
12,26,46,260
12,27,49,313
12,28,47,314
12,29,44,321
12,30,41,322
12,31,60,330
12,32,59,332
13,0,54,94
13,1,53,88
13,2,53,88
13,3,53,88
13,4,52,88
13,5,51,88
13,6,51,88
13,7,48,89
13,8,46,89
13,9,53,99
13,10,52,99
13,11,47,120
13,12,33,116
13,13,51,160
13,14,33,161
13,15,59,194
13,16,36,206
13,17,62,204
13,18,36,217
13,19,62,203
13,20,39,216
13,21,60,200
13,22,39,213
13,23,47,205
13,24,40,205
13,25,50,260
13,26,48,260
13,27,49,313
13,28,49,315
13,29,44,321
13,30,44,324
13,31,61,329
13,32,63,332
14,0,55,95
14,1,54,89
14,2,54,89
14,3,53,88
14,4,53,89
14,5,52,88
14,6,52,88
14,7,49,89
14,8,47,89
14,9,53,99
14,10,53,99
14,11,48,120
14,12,33,116
14,13,52,160
14,14,33,162
14,15,60,194
14,16,37,207
14,17,63,203
14,18,37,218
14,19,64,203
14,20,40,217
14,21,62,199
14,22,40,214
14,23,48,206
14,24,41,208
14,25,50,260
14,26,49,261
14,27,49,313
14,28,49,318
14,29,45,321
14,30,46,331
14,31,64,329
14,32,65,332
15,0,56,95
15,1,55,89
15,2,55,89
15,3,54,89
15,4,54,89
15,5,53,88
15,6,53,88
15,7,50,90
15,8,47,89
15,9,54,99
15,10,53,99
15,11,50,120
15,12,34,116
15,13,53,160
15,14,33,162
15,15,61,193
15,16,38,207
15,17,65,202
15,18,38,218
15,19,65,201
15,20,41,217
15,21,64,198
15,22,41,214
15,23,49,205
15,24,42,207
15,25,50,258
15,26,50,260
15,27,48,313
15,28,53,318
15,29,45,321
15,30,48,330
15,31,61,325
15,32,66,333
16,0,56,95
16,1,55,89
16,2,55,89
16,3,55,89
16,4,55,89
16,5,54,89
16,6,53,88
16,7,51,90
16,8,48,89
16,9,55,100
16,10,54,99
16,11,51,120
16,12,35,116
16,13,54,160
16,14,34,162
16,15,63,193
16,16,39,207
16,17,66,202
16,18,39,218
16,19,66,201
16,20,42,217
16,21,65,198
16,22,42,214
16,23,50,205
16,24,43,208
16,25,50,258
16,26,52,260
16,27,48,313
16,28,54,319
16,29,45,322
16,30,49,329
16,31,61,325
16,32,67,333
17,0,57,95
17,1,56,89
17,2,56,89
17,3,56,89
17,4,56,89
17,5,55,89
17,6,54,88
17,7,52,90
17,8,49,89
17,9,56,100
17,10,55,99
17,11,51,121
17,12,35,117
17,13,55,160
17,14,34,163
17,15,65,192
17,16,39,207
17,17,67,202
17,18,39,219
17,19,67,201
17,20,42,218
17,21,66,198
17,22,42,214
17,23,51,205
17,24,44,207
17,25,53,258
17,26,53,260
17,27,50,313
17,28,55,319
17,29,47,322
17,30,50,330
17,31,63,326
17,32,69,333
18,0,58,95
18,1,57,90
18,2,57,89
18,3,57,89
18,4,56,89
18,5,56,89
18,6,55,88
18,7,53,90
18,8,50,90
18,9,56,100
18,10,55,100
18,11,52,121
18,12,36,117
18,13,55,160
18,14,35,163
18,15,64,193
18,16,41,208
18,17,67,202
18,18,41,219
18,19,67,201
18,20,43,218
18,21,66,198
18,22,43,214
18,23,52,205
18,24,45,207
18,25,53,258
18,26,55,261
18,27,49,309
18,28,57,320
18,29,45,318
18,30,51,330
18,31,60,322
18,32,68,334
19,0,59,95
19,1,58,90
19,2,58,89
19,3,58,89
19,4,58,89
19,5,57,89
19,6,56,88
19,7,54,90
19,8,51,90
19,9,57,100
19,10,56,100
19,11,52,121
19,12,38,117
19,13,56,159
19,14,37,164
19,15,65,193
19,16,42,208
19,17,68,202
19,18,42,220
19,19,68,201
19,20,44,218
19,21,66,198
19,22,45,215
19,23,53,205
19,24,46,208
19,25,52,258
19,26,55,263
19,27,48,307
19,28,57,321
19,29,44,316
19,30,52,331
19,31,59,320
19,32,69,334
20,0,60,95
20,1,59,90
20,2,59,89
20,3,59,89
20,4,58,89
20,5,58,89
20,6,57,88
20,7,55,90
20,8,52,90
20,9,58,100
20,10,57,100
20,11,53,121
20,12,39,117
20,13,57,159
20,14,39,164
20,15,65,193
20,16,44,208
20,17,67,203
20,18,45,220
20,19,67,202
20,20,47,218
20,21,66,199
20,22,47,215
20,23,53,205
20,24,47,207
20,25,52,258
20,26,57,263
20,27,46,306
20,28,59,321
20,29,42,315
20,30,55,338
20,31,56,319
20,32,70,335
21,0,61,95
21,1,60,89
21,2,60,89
21,3,60,89
21,4,59,89
21,5,58,89
21,6,57,88
21,7,56,90
21,8,53,90
21,9,59,100
21,10,58,100
21,11,54,121
21,12,41,117
21,13,59,158
21,14,43,165
21,15,66,193
21,16,51,208
21,17,67,204
21,18,52,220
21,19,66,203
21,20,54,218
21,21,66,199
21,22,54,215
21,23,54,205
21,24,49,207
21,25,53,257
21,26,57,263
21,27,45,306
21,28,59,320
21,29,40,316
21,30,56,338
21,31,54,320
21,32,70,335
22,0,61,94
22,1,61,89
22,2,61,89
22,3,60,89
22,4,60,89
22,5,59,89
22,6,58,88
22,7,57,90
22,8,53,90
22,9,60,100
22,10,59,99
22,11,55,121
22,12,42,117
22,13,60,157
22,14,47,166
22,15,66,193
22,16,56,208
22,17,66,203
22,18,57,217
22,19,66,202
22,20,58,216
22,21,65,198
22,22,57,213
22,23,55,205
22,24,50,207
22,25,55,257
22,26,56,262
22,27,49,307
22,28,58,319
22,29,45,315
22,30,54,336
22,31,59,321
22,32,70,334
23,0,62,94
23,1,62,89
23,2,61,89
23,3,61,89
23,4,60,89
23,5,60,88
23,6,59,88
23,7,58,90
23,8,54,89
23,9,61,99
23,10,60,99
23,11,58,120
23,12,42,117
23,13,61,157
23,14,45,166
23,15,65,193
23,16,52,208
23,17,66,205
23,18,53,220
23,19,66,204
23,20,55,219
23,21,65,200
23,22,55,214
23,23,58,204
23,24,50,206
23,25,57,257
23,26,56,261
23,27,52,307
23,28,57,316
23,29,49,316
23,30,54,332
23,31,62,321
23,32,67,334
24,0,63,93
24,1,62,88
24,2,62,88
24,3,62,88
24,4,61,88
24,5,60,88
24,6,60,87
24,7,58,90
24,8,55,89
24,9,62,99
24,10,61,98
24,11,60,119
24,12,43,116
24,13,63,155
24,14,46,164
24,15,66,174
24,16,53,207
24,17,66,180
24,18,53,220
24,19,66,176
24,20,55,219
24,21,66,174
24,22,56,213
24,23,60,203
24,24,51,205
24,25,60,258
24,26,55,260
24,27,56,312
24,28,56,316
24,29,55,324
24,30,53,328
24,31,67,328
24,32,66,334
25,0,64,93
25,1,63,88
25,2,63,88
25,3,63,88
25,4,62,87
25,5,61,87
25,6,60,87
25,7,59,89
25,8,56,88
25,9,63,98
25,10,62,98
25,11,61,119
25,12,44,116
25,13,63,155
25,14,45,164
25,15,67,181
25,16,52,207
25,17,67,200
25,18,53,221
25,19,66,196
25,20,55,219
25,21,66,194
25,22,55,214
25,23,62,203
25,24,53,205
25,25,61,258
25,26,56,260
25,27,56,314
25,28,55,316
25,29,53,324
25,30,52,328
25,31,67,330
25,32,66,334
26,0,65,92
26,1,64,87
26,2,64,87
26,3,64,87
26,4,63,87
26,5,63,87
26,6,62,86
26,7,60,89
26,8,57,88
26,9,64,98
26,10,63,98
26,11,62,119
26,12,44,116
26,13,62,159
26,14,45,165
26,15,66,192
26,16,53,209
26,17,67,206
26,18,53,222
26,19,67,205
26,20,55,221
26,21,66,202
26,22,55,216
26,23,61,205
26,24,52,207
26,25,62,260
26,26,56,263
26,27,55,317
26,28,51,320
26,29,51,326
26,30,48,329
26,31,66,330
26,32,64,334
27,0,67,93
27,1,66,87
27,2,65,87
27,3,65,87
27,4,65,87
27,5,64,87
27,6,63,87
27,7,61,89
27,8,58,88
27,9,65,98
27,10,64,98
27,11,61,119
27,12,46,117
27,13,61,162
27,14,47,166
27,15,64,197
27,16,53,209
27,17,66,209
27,18,54,222
27,19,66,208
27,20,56,221
27,21,65,204
27,22,55,217
27,23,61,205
27,24,53,207
27,25,60,259
27,26,59,262
27,27,49,311
27,28,52,320
27,29,43,319
27,30,47,327
27,31,55,330
27,32,64,334
28,0,68,93
28,1,67,87
28,2,67,87
28,3,67,87
28,4,66,87
28,5,65,87
28,6,64,87
28,7,63,89
28,8,59,88
28,9,67,98
28,10,65,98
28,11,62,119
28,12,48,118
28,13,62,163
28,14,51,167
28,15,64,199
28,16,56,210
28,17,66,210
28,18,57,222
28,19,66,209
28,20,58,221
28,21,65,206
28,22,58,217
28,23,61,206
