Frame,Joint,X,Y
0,0,53,78
0,1,52,74
0,2,51,75
0,3,51,75
0,4,51,74
0,5,50,74
0,6,50,74
0,7,48,77
0,8,46,77
0,9,52,83
0,10,51,83
0,11,45,104
0,12,39,96
0,14,48,122
0,16,68,130
0,18,73,131
0,20,74,129
0,22,72,129
0,23,43,167
0,24,34,165
0,25,53,205
0,26,23,205
0,27,64,248
0,28,8,252
0,29,63,259
0,30,5,259
0,31,77,249
0,32,17,263
1,0,56,79
1,1,55,75
1,2,55,75
1,3,55,75
1,4,55,75
1,5,54,75
1,6,53,75
1,7,50,77
1,8,49,77
1,9,55,84
1,10,54,84
1,11,47,104
1,12,43,99
1,14,54,126
1,16,74,132
1,18,78,133
1,20,79,130
1,22,77,131
1,23,45,167
1,24,38,166
1,25,56,206
1,26,25,206
1,27,65,248
1,28,8,252
1,29,65,258
1,30,5,259
1,31,77,252
1,32,17,263
2,0,60,79
2,1,59,75
2,2,58,75
2,3,58,75
2,4,58,75
2,5,58,75
2,6,57,75
2,7,54,77
2,8,53,77
2,9,58,84
2,10,58,83
2,11,51,103
2,12,48,99
2,14,57,127
2,16,76,135
2,18,80,137
2,20,81,135
2,22,79,135
2,23,48,167
2,24,43,166
2,25,59,206
2,26,29,207
2,27,68,249
2,28,10,250
2,29,66,258
2,30,6,256
2,31,77,255
2,32,17,263
3,0,64,79
3,1,63,75
3,2,62,75
3,3,62,75
3,4,62,75
3,5,62,75
3,6,61,74
3,7,58,77
3,8,57,76
3,9,62,84
3,10,62,83
3,11,55,103
3,12,51,98
3,14,60,128
3,16,78,141
3,18,82,144
3,20,82,141
3,22,81,141
3,23,53,167
3,24,49,166
3,25,63,206
3,26,35,207
3,27,69,250
3,28,14,246
3,29,67,258
3,30,9,250
3,31,78,258
3,32,19,262
4,0,68,79
4,1,67,75
4,2,66,75
4,3,66,75
4,4,66,75
4,5,66,74
4,6,65,74
4,7,63,77
4,8,61,76
4,9,66,84
4,10,66,83
4,11,60,102
4,12,55,98
4,14,64,130
4,16,80,147
4,18,83,152
4,20,84,150
4,22,82,148
4,23,59,166
4,24,54,166
4,25,66,205
4,26,42,209
4,27,70,252
4,28,18,241
4,29,67,259
4,30,13,246
4,31,79,262
4,32,20,262
5,0,71,79
5,1,70,74
5,2,70,74
5,3,70,74
5,4,70,74
5,5,69,74
5,6,69,74
5,7,66,76
5,8,65,76
5,9,71,83
5,10,70,83
5,11,63,101
5,12,59,98
5,14,65,131
5,16,79,150
5,18,82,156
5,20,83,154
5,22,82,152
5,23,61,166
5,24,61,166
5,25,66,207
5,26,51,212
5,27,70,254
5,28,25,236
5,29,67,261
5,30,20,234
5,31,80,263
5,32,24,260
6,0,75,77
6,1,73,73
6,2,73,73
6,3,72,73
6,4,72,72
6,5,72,72
6,6,71,72
6,7,70,75
6,8,68,75
6,9,74,81
6,10,73,81
6,11,67,101
6,12,62,97
6,14,67,130
6,16,78,154
6,18,81,161
6,20,82,159
6,22,80,157
6,23,67,165
6,24,62,165
6,25,70,208
6,26,60,213
6,27,70,254
6,28,31,231
6,29,67,262
6,30,26,227
6,31,80,263
6,32,31,255
7,0,78,75
7,1,76,71
7,2,76,71
7,3,76,71
7,4,76,71
7,5,75,71
7,6,75,71
7,7,73,74
7,8,72,74
7,9,77,80
7,10,77,80
7,11,70,100
7,12,65,96
7,14,70,133
7,16,79,162
7,18,81,171
7,20,82,171
7,22,81,168
7,23,69,164
7,24,66,164
7,25,69,209
7,26,70,211
7,27,70,254
7,28,40,231
7,29,67,262
7,30,35,229
7,31,80,264
7,32,42,254
8,0,82,73
8,1,80,69
8,2,80,69
8,3,80,69
8,4,80,69
8,5,79,69
8,6,79,70
8,7,77,72
8,8,75,73
8,9,81,78
8,10,80,78
8,11,77,100
8,12,68,96
8,14,71,132
8,16,82,162
8,18,84,171
8,20,86,169
8,22,85,166
8,23,73,163
8,24,68,162
8,25,71,208
8,26,74,209
8,27,70,254
8,28,50,235
8,29,67,262
8,30,45,235
8,31,81,263
8,32,54,254
9,0,86,73
9,1,84,69
9,2,84,69
9,3,84,69
9,4,84,69
9,5,83,69
9,6,82,69
9,7,81,72
9,8,79,72
9,9,85,78
9,10,84,78
9,11,80,100
9,12,71,95
9,14,73,131
9,16,89,158
9,17,100,168
9,18,91,166
9,19,100,167
9,20,93,164
9,21,99,165
9,22,92,161
9,23,76,162
9,24,72,162
9,25,74,207
9,26,79,206
9,27,64,246
9,28,67,242
9,29,59,249
9,30,65,247
9,31,71,262
9,32,75,259
10,0,89,74
10,1,88,69
10,2,88,69
10,3,87,69
10,4,87,69
10,5,87,69
10,6,86,69
10,7,84,72
10,8,83,72
10,9,88,78
10,10,87,78
10,11,81,99
10,12,78,95
10,14,86,131
10,15,88,159
10,16,101,156
10,17,90,168
10,18,106,164
10,19,91,167
